<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>,,,<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>,,first,high,low,close
Gold.Coin.9712,20180725,3545000,3545000,3410004,3477786,53523127210,15390,589,D,3461959,3415000,,,Lotus.Gold.Com.ETF,20180725,27790,27790,26795,27325,3.26615E+11,11952919,1864,D,27570,26800,,127.5638719,127.5638719,127.2626983,127.2748765
Gold.Coin.9712,20180724,3468000,3531803,3372000,3461959,1.00847E+11,29130,615,D,3363622,3531803,,,Lotus.Gold.Com.ETF,20180724,28000,28098,26750,27570,1.5705E+11,5696433,1847,D,27321,27801,,123.8571429,125.6958858,126.0560748,125.569786
Gold.Coin.9712,20180723,3364801,3364801,3325101,3363622,85335081190,25370,267,D,3204573,3364801,,,Lotus.Gold.Com.ETF,20180723,26555,28497,26555,27321,1.4694E+11,5378287,2044,D,25613,28100,,126.7106383,118.075622,125.2156279,123.1148933
Gold.Coin.9712,20180722,3204573,3204573,3204573,3204573,28328425320,8840,173,D,3051975,3204573,,,Lotus.Gold.Com.ETF,20180722,25402,26000,25400,25613,76992448838,3005976,1105,D,24595,25800,,126.1543579,123.2528077,126.1642913,125.1150978
Gold.Coin.9712,20180721,3051975,3051975,3051975,3051975,5859792000,1920,43,D,2906643,3051975,,,Lotus.Gold.Com.ETF,20180721,24300,24878,24300,24595,2.90303E+11,11803124,1577,D,23177,24701,,125.595679,122.677667,125.595679,124.0892458
Gold.Coin.9712,20180718,2897996,2932998,2871114,2906643,22962476770,7900,337,D,2846092,2898501,,,Lotus.Gold.Com.ETF,20180718,23000,23320,23000,23177,1.97057E+11,8502261,671,D,22866,23100,,125.9998261,125.7717839,124.8310435,125.4106657
Gold.Coin.9712,20180717,2839000,2885000,2800000,2846092,14344302550,5040,268,D,2808608,2850000,,,Lotus.Gold.Com.ETF,20180717,22820,23007,22670,22866,1.39151E+11,6085538,598,D,22647,22850,,124.4084137,125.3966184,123.5112483,124.4682935
Gold.Coin.9712,20180716,2830000,2834788,2783500,2808608,15026051200,5350,290,D,2916715,2809999,,,Lotus.Gold.Com.ETF,20180716,23396,23396,22500,22647,1.26447E+11,5583468,694,D,23499,22602,,120.960848,121.1654984,123.7111111,124.0167793
Gold.Coin.9712,20180715,2900000,2916861,2900000,2916715,57021789860,19550,233,D,2777963,2916861,,,Lotus.Gold.Com.ETF,20180715,23353,23645,23151,23499,1.95E+11,8298127,987,D,22319,23500,,124.1810474,123.3605836,125.2645674,124.1208137
Gold.Coin.9712,20180714,2725000,2814999,2725000,2777963,24168276950,8700,356,D,2689854,2814999,,,Lotus.Gold.Com.ETF,20180714,21800,22650,21800,22319,2.5287E+11,11329750,868,D,21722,22631,,125,124.2825166,125,124.4662843
Gold.Coin.9712,20180711,2749999,2749999,2678860,2689854,30045668510,11170,342,D,2819852,2680000,,,Lotus.Gold.Com.ETF,20180711,22122,22122,21201,21722,61556851858,2833895,412,D,22507,21750,,124.3105958,124.3105958,126.3553606,123.8308627
Gold.Coin.9712,20180710,2849985,2849985,2808044,2819852,16693522400,5920,246,D,2889130,2816901,,,Lotus.Gold.Com.ETF,20180710,22450,22650,22371,22507,1.03883E+11,4615579,621,D,22974,22400,,126.9481069,125.8271523,125.5216128,125.2877771
Gold.Coin.9712,20180708,2895999,2910000,2871001,2889130,15976889490,5530,240,D,2855016,2890006,,,Lotus.Gold.Com.ETF,20180708,22900,23100,22871,22974,1.10767E+11,4821443,507,D,22868,23000,,126.4628384,125.974026,125.5301911,125.7565074
Gold.Coin.9712,20180707,2899499,2899499,2840000,2855016,40055880030,14030,444,D,2915550,2867000,,,Lotus.Gold.Com.ETF,20180707,23100,23200,22800,22868,54482478700,2382501,608,D,23308,22870,,125.5194372,124.9784052,124.5614035,124.8476474
Gold.Coin.9712,20180704,2968999,2968999,2892000,2915550,20787869950,7130,208,D,2984269,2928000,,,Lotus.Gold.Com.ETF,20180704,23400,23470,23110,23308,44131939767,1893465,580,D,23653,23204,,126.8802991,126.5018747,125.1406318,125.0879526
Gold.Coin.9712,20180703,2980000,2999999,2969999,2984269,44376082770,14870,414,D,3000627,2993000,,,Lotus.Gold.Com.ETF,20180703,23359,23847,23359,23653,90905854244,3843354,566,D,23812,23611,,127.5739544,125.8019457,127.145811,126.1687312
Gold.Coin.9712,20180702,2987016,3019800,2976002,3000627,43479080490,14490,423,D,2931664,3010000,,,Lotus.Gold.Com.ETF,20180702,23477,23905,23477,23812,1.95372E+11,8204630,1086,D,23454,23834,,127.2315884,126.3250366,126.7624484,126.0132286
Gold.Coin.9712,20180701,2920000,2960000,2919000,2931664,37613248650,12830,349,D,2922602,2935000,,,Lotus.Gold.Com.ETF,20180701,23351,23670,23351,23454,1.68577E+11,7187428,871,D,23216,23387,,125.0481778,125.0528095,125.0053531,124.9963332
